SMILES,LogKOC
O=C(Nc1ccc(Cl)cc1)NC(=O)c1c(F)cccc1F,3.83
CSc1ccc(cc1)OP(=S)(OCC)SCCC,4.08
C=CCOC(C[n]1c[n]cc1)c1ccc(Cl)cc1Cl,3.73
Clc1cc(Cl)c(Cl)c(c1)-c1cc(Cl)cc(Cl)c1Cl,6.48
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,6.41
CN(C)C(=O)Nc1cc(C)cc(C)c1,1.73
Clc1cc(-c2ccccc2Cl)c(Cl)cc1,4.4
Clc1cc(Cl)c(cc1)-c1ccccc1Cl,4.84
Clc1cc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)cc1,5.22
Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c1ccccc1,3.08
Clc1cc(-c2c(Cl)c(Cl)ccc2Cl)c(Cl)cc1,5.55
